Property type,Size,Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress
Apartment,100 m²,4.0,2nd ,No,No,No,No,Not specified,Not specified,Yes,No,Not specified,Not specified,No,Not specified,-,Unlimited,1 July 2024,18.500 kr.,850 kr.,55.500 kr.,55.500 kr.,130.350 kr.,04/04/2024,5216044,"Ejgårdsvej, 2920 København, Charlottenlund  - 2nd floor"
Apartment,84 m²,3.0,3rd ,Yes,No,No,No,No,No,Yes,No,Not specified,Not specified,No,Not specified,-,24+ months,1 June 2024,15.000 kr.,,45.000 kr.,0 kr.,60.000 kr.,04/04/2024,5242890,"Sølvgade, 1307 København, København K  - 3rd floor"
Apartment,115 m²,5.0,Ground floor,Yes,No,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,,12-23 months,As soon as possible,36.000 kr.,3.000 kr.,108.000 kr.,108.000 kr.,255.000 kr.,04/04/2024,5430086,"Holbergsgade, 1057 København, København K  - Ground floor"
Apartment,58 m²,2.0,2nd ,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,30 June 2024,10.300 kr.,700 kr.,30.900 kr.,10.300 kr.,52.200 kr.,04/04/2024,5414477,"Fjerkløvervej, 2750 København, Ballerup  - 2nd floor"
Apartment,92 m²,4.0,1st ,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,-,Unlimited,30 June 2024,18.200 kr.,1.000 kr.,54.600 kr.,18.200 kr.,92.000 kr.,04/04/2024,5344440,"Amerikavej, 1756 København, København V  - 1st floor"
Apartment,155 m²,4.0,Ground floor,No,Yes,No,No,No,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,,Unlimited,1 June 2024,22.950 kr.,1.010 kr.,68.850 kr.,22.950 kr.,115.760 kr.,04/04/2024,5276450,"Omøgade, 2100 København, København Ø  - Ground floor"
Apartment,55 m²,2.0,3rd ,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,15 June 2024,9.500 kr.,500 kr.,28.500 kr.,9.500 kr.,48.000 kr.,04/04/2024,5430114,"Dagmarhaven, 2665 København, Vallensbæk Strand  - 3rd floor"
Apartment,63 m²,2.0,3rd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,10.650 kr.,700 kr.,31.950 kr.,10.650 kr.,53.950 kr.,04/04/2024,5430113,"Skolebakken, 2640 København, Hedehusene  - 3rd floor"
Apartment,103 m²,4.0,Ground floor,No,Yes,No,Yes,Not specified,Not specified,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 July 2024,13.500 kr.,1.200 kr.,40.500 kr.,13.500 kr.,68.700 kr.,04/04/2024,5047279,"Eigtveds Alle, 2630 København, Taastrup  - Ground floor"
Apartment,63 m²,2.0,2nd ,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,9.500 kr.,650 kr.,28.500 kr.,9.500 kr.,48.150 kr.,04/04/2024,5422366,"Ballerup Boulevard, 2740 København, Skovlunde  - 2nd floor"
Apartment,60 m²,2.0,2nd ,No,No,No,No,No,No,Yes,No,No,No,No,No,-,Unlimited,15 May 2024,11.000 kr.,650 kr.,33.000 kr.,11.000 kr.,55.650 kr.,04/04/2024,5260320,"Doris Lessings Vej, 2300 København, København S  - 2nd floor"
Apartment,25 m²,1.0,4th ,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,31 May 2024,7.900 kr.,750 kr.,23.700 kr.,7.900 kr.,40.250 kr.,04/04/2024,5430105,"Finsensvej, 2000 København, Frederiksberg  - 4th floor"
Apartment,56 m²,2.0,2nd ,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 September 2024,9.500 kr.,500 kr.,28.500 kr.,9.500 kr.,48.000 kr.,04/04/2024,5430104,"Vejlesvinget, 2665 København, Vallensbæk Strand  - 2nd floor"
Apartment,31 m²,1.0,-,No,No,No,Yes,Not specified,Not specified,No,No,No,No,No,No,-,Unlimited,30 June 2024,7.675 kr.,350 kr.,23.025 kr.,7.675 kr.,38.725 kr.,04/04/2024,5430101,"Sigurdsgade, 2200 København, København N "
Apartment,73 m²,2.0,2nd ,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 July 2024,17.000 kr.,900 kr.,51.000 kr.,17.000 kr.,85.900 kr.,04/04/2024,5430098,"Judithsvej, 2900 København, Hellerup  - 2nd floor"
Apartment,106 m²,4.0,3rd ,No,Yes,No,Yes,Not specified,Not specified,Not specified,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,1 June 2024,17.500 kr.,900 kr.,52.500 kr.,52.500 kr.,123.400 kr.,04/04/2024,3098826,"Tranevej, 2400 København, København NV  - 3rd floor"
Apartment,88 m²,2.0,3rd ,No,No,No,Yes,No,No,Yes,Yes,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,12.900 kr.,660 kr.,32.700 kr.,0 kr.,46.260 kr.,04/04/2024,5234141,"Søborg Hovedgade, 2860 København, Søborg  - 3rd floor"
House,158 m²,5.0,-,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,12-23 months,1 May 2024,21.500 kr.,2.500 kr.,64.500 kr.,21.500 kr.,110.000 kr.,04/04/2024,5430082,"Kulsviervej, 2800 København, Kongens Lyngby "
House,158 m²,5.0,-,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,12-23 months,1 May 2024,21.500 kr.,2.500 kr.,64.500 kr.,21.500 kr.,110.000 kr.,04/04/2024,5430082,"Kulsviervej, 2800 København, Kongens Lyngby "
Apartment,81 m²,3.0,1st ,No,No,No,No,No,No,No,No,No,No,No,No,,Unlimited,1 January 2025,10.950 kr.,1.100 kr.,32.850 kr.,10.950 kr.,55.850 kr.,04/04/2024,5397333,"Urtehaven, 2640 København, Hedehusene  - 1st floor"
