,Property type,Size,Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress
0,Apartment,100 m²,4,Ground floor,No,Yes,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,1-11 months,1 September 2024,22.000 kr.,0 kr.,22.000 kr.,22.000 kr.,66.000 kr.,21/03/2024,5427722,"Løgstørgade, 2100 København, København Ø  - Ground floor"
1,Apartment,154 m²,5,1st ,No,No,No,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 May 2024,23.000 kr.,1.400 kr.,69.000 kr.,69.000 kr.,162.400 kr.,21/03/2024,5427716,"Virginiavej, 2000 København, Frederiksberg  - 1st floor"
2,Apartment,54 m²,2,Ground floor,No,No,No,No,No,No,No,No,No,No,No,No,,Unlimited,As soon as possible,8.448 kr.,410 kr.,25.344 kr.,25.344 kr.,59.546 kr.,21/03/2024,5427711,"Ellensvej, 2920 København, Charlottenlund  - Ground floor"
3,Apartment,71 m²,3,5th ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,14.300 kr.,700 kr.,42.900 kr.,14.300 kr.,72.200 kr.,21/03/2024,5427710,"Martha Christensens Vej, 2300 København, København S  - 5th floor"
4,Apartment,63 m²,2,4th ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,12.700 kr.,650 kr.,38.100 kr.,12.700 kr.,64.150 kr.,21/03/2024,5427709,"Martha Christensens Vej, 2300 København, København S  - 4th floor"
5,Apartment,49 m²,2,6th ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,13.000 kr.,600 kr.,39.000 kr.,13.000 kr.,65.600 kr.,21/03/2024,5427708,"Martha Christensens Vej, 2300 København, København S  - 6th floor"
6,Apartment,110 m²,4,1st ,No,Yes,No,No,No,No,No,No,No,No,No,No,,24+ months,As soon as possible,15.500 kr.,1.500 kr.,31.000 kr.,15.500 kr.,63.500 kr.,21/03/2024,5395702,"Frankrigsgade, 2300 København, København S  - 1st floor"
7,Apartment,94 m²,3,2nd ,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,13.062 kr.,800 kr.,39.186 kr.,13.062 kr.,66.110 kr.,21/03/2024,5074207,"Centrumgaden, 2750 København, Ballerup  - 2nd floor"
8,Apartment,85 m²,2,5th ,No,No,No,No,No,No,Yes,No,No,No,No,No,,Unlimited,1 June 2024,13.150 kr.,700 kr.,39.450 kr.,13.150 kr.,66.450 kr.,21/03/2024,5427612,"Axel Heides Gade, 2300 København, København S  - 5th floor"
9,Apartment,86 m²,3,1st ,No,No,No,No,No,No,Yes,No,No,No,No,No,,Unlimited,1 May 2024,12.150 kr.,1.440 kr.,36.450 kr.,36.450 kr.,86.490 kr.,21/03/2024,5427611,"Kongevejen, 2830 København, Virum  - 1st floor"
