Property Type,Size(m²),Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress,district
Apartment,101,3,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,31 May 2024,14500,1100,43500,14500,73600,19/03/2024,5426939,"Elstarvej, 2500 København, Valby  - Ground floor",Valby
House,323,8,0,No,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,-,24+ months,As soon as possible,45000,800,135000,0,180800,25/01/2024,5415335,"Dronninggårds Alle, 2840 København, Holte ",Holte
House,112,4,0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,24+ months,As soon as possible,14000,1800,28000,14000,57800,16/01/2024,5412506,"Mørkager, 2620 København, Albertslund ",Albertslund
Apartment,91,3,2,No,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,-,Unlimited,1 May 2024,12995,800,38985,12995,65775,26/02/2024,4969321,"Østbrovej, 2600 København, Glostrup  - 2nd floor",Glostrup
Room,10,1,2,No,Yes,No,No,No,No,Yes,No,Yes,No,No,No,-,Unlimited,As soon as possible,4200,1600,11600,0,17400,22/11/2023,5210642,"Mølle Allé, 2500 København, Valby  - 2nd floor",Valby
Room,12,1,5,No,No,No,Yes,No,No,Yes,No,No,No,No,No,-,Unlimited,1 April 2024,6000,400,12000,6000,24400,12/03/2024,5244107,"C.F. Møllers Allé, 2300 København, København S  - 5th floor",København S
Apartment,40,1,2,No,No,No,Yes,No,No,No,No,Yes,No,No,No,-,Unlimited,1 June 2024,8395,500,25185,8395,42475,19/03/2024,5362915,"Smedetoften, 2400 København, København NV  - 2nd floor",København NV
Apartment,34,1,2,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,-,Unlimited,30 April 2024,8400,400,25200,8400,42400,11/03/2024,5425209,"Englandsvej, 2300 København, København S  - 2nd floor",København S
Room,13,1,0,Yes,No,No,No,No,No,No,No,Yes,No,No,No,,Unlimited,As soon as possible,4500,0,9000,0,13500,06/12/2023,5405676,"Jyllingevej, 2720 København, Vanløse ",Vanløse
Apartment,111,5,2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 May 2024,14900,1300,14900,14900,46000,17/01/2024,5413436,"Baneleddet, 2600 København, Glostrup  - 2nd floor",Glostrup
Apartment,33,1,19,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,,Unlimited,1 May 2024,10250,798,20500,0,31548,08/03/2024,5424777,"Dybbølsbro, 1577 København, København V  - 19th floor",København V
Room,25,1,0,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,-,12-23 months,As soon as possible,4400,500,13200,4400,22500,01/09/2023,5384620,"Vidnæsdal, 2840 København, Holte ",Holte
Apartment,100,4,2,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,,Unlimited,As soon as possible,13900,1090,41700,0,56690,20/03/2024,5427135,"Amperestien, 2605 København, Brøndby  - 2nd floor",Brøndby
Townhouse,127,5,0,No,No,Yes,No,No,No,No,No,No,No,No,No,-,Unlimited,1 June 2024,16700,850,50100,16700,84350,29/02/2024,5294026,"Islev Have, 2610 København, Rødovre ",Rødovre
Apartment,80,3,2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 July 2024,11600,1000,11600,11600,35800,04/03/2024,5423460,"Baneleddet, 2605 København, Brøndby  - 2nd floor",Brøndby
Apartment,52,1,2,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,-,Unlimited,1 April 2024,6795,450,20385,6795,34425,29/02/2024,5385873,"Telegrafvej, 2750 København, Ballerup  - 2nd floor",Ballerup
Room,18,1,0,Yes,No,No,No,No,No,No,No,No,Yes,No,Yes,-,Unlimited,As soon as possible,4500,0,9000,0,13500,02/11/2023,5398797,"Græshavevej, 2730 København, Herlev ",Herlev
Townhouse,135,3,0,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,-,Unlimited,1 April 2024,18950,1100,56850,18950,95850,14/03/2024,5217355,"Glostervej, 2500 København, Valby  - Ground floor",Valby
Apartment,84,3,2,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,31 May 2024,14500,950,43500,14500,73450,11/03/2024,5425202,"Elstarvej, 2500 København, Valby  - 2nd floor",Valby
House,104,5,0,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,,Unlimited,As soon as possible,25600,1200,76800,0,103600,19/02/2024,5417553,"Tårnbyvej, 2770 København, Kastrup ",Kastrup
Apartment,83,3,0,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,1 August 2024,12400,950,37200,12400,62950,22/02/2024,5421345,"Grannålen, 2600 København, Glostrup  - Ground floor",Glostrup
Apartment,54,2,3,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,31 March 2024,9950,650,29850,9950,50400,22/02/2024,5286774,"Mejsevangen, 2635 København, Ishøj  - 3rd floor",Ishøj
Room,14,1,1,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,,12-23 months,15 April 2024,4500,684,9000,0,14184,17/02/2024,4820581,"Lundtoftevej, 2800 København, Kongens Lyngby  - 1st floor",Kongens Lyngby
Apartment,107,3,0,No,No,No,No,Yes,No,Yes,Yes,Yes,Yes,No,No,-,Unlimited,As soon as possible,14500,0,43500,0,58000,01/02/2024,4737386,"Grantoftevej, 3500 København, Værløse ",Værløse
Room,16,1,1,No,No,No,No,No,No,No,No,No,Yes,No,No,,Unlimited,As soon as possible,4000,0,4000,0,8000,04/01/2024,5349774,"Bustrupgade, 1737 København, København V  - 1st floor",København V
Room,18,1,0,Yes,Yes,No,No,No,No,No,No,No,No,No,No,,Unlimited,As soon as possible,6500,0,6500,0,13000,28/11/2023,5402936,"Nordre Ringvej, 2600 København, Glostrup  - Ground floor",Glostrup
House,150,5,0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,24+ months,As soon as possible,35000,2000,105000,35000,177000,28/10/2023,3847658,"Skovhegnet, 2920 København, Charlottenlund ",Charlottenlund
Room,12,1,1,Yes,No,No,No,No,No,No,No,No,No,No,No,,1-11 months,1 June 2024,5500,0,5500,0,11000,04/10/2023,5392993,"Sofiegade, 1418 København, København K  - 1st floor",København K
Apartment,122,4,0,No,No,No,No,No,No,No,No,No,No,No,No,,Unlimited,As soon as possible,14200,1100,42600,14200,72100,11/01/2023,4983206,"Kongelysvej, 2640 København, Hedehusene  - Ground floor",Hedehusene
Room,12,1,3,Yes,No,No,Yes,No,No,Yes,No,Not specified,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,6000,400,18000,6000,30400,10/01/2023,5328660,"Finlandsgade , 2300 København, København S  - 3rd floor",København S
Room,11,1,0,Yes,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,Unlimited,As soon as possible,3400,600,6000,0,10000,10/11/2022,5315964,"Vejlands Allé, 2300 København, København S ",København S
Apartment,50,1,1,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,12-23 months,As soon as possible,8500,500,8500,8500,26000,01/11/2022,2851883,"Lipkesgade, 2100 København, København Ø  - 1st floor",København Ø
Room,10,1,0,Yes,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,1-11 months,As soon as possible,4000,0,0,0,4000,18/10/2022,5310574,"Stillidsvej, 2630 København, Taastrup ",Taastrup
Apartment,36,1,3,No,No,No,Yes,No,Yes,No,Yes,No,No,No,No,-,Unlimited,15 May 2024,5195,450,15585,5195,26425,04/03/2024,5335509,"Telegrafvej, 2750 København, Ballerup  - 3rd floor",Ballerup
Room,20,1,4,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,-,Unlimited,1 April 2024,5500,600,16500,0,22600,11/03/2024,4963148,"Bülowsvej, 1870 København, Frederiksberg C  - 4th floor",Frederiksberg C
Room,9,1,1,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,,1-11 months,1 May 2024,3500,0,7000,0,10500,19/03/2024,5398068,"H.C. Andersens Boulevard, 1553 København, København V  - 1st floor",København V
Apartment,61,1,2,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,,Unlimited,31 May 2024,9995,700,29985,9995,50675,15/03/2024,5275088,"Granskoven, 2600 København, Glostrup  - 2nd floor",Glostrup
Room,25,1,0,Yes,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,5000,0,2500,0,7500,27/01/2024,5415806,"Murergården, 2635 København, Ishøj ",Ishøj
Room,7,1,0,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,,1-11 months,1 April 2024,4000,1000,4000,0,9000,21/12/2023,5408545,"Pilegård Alle, 2770 København, Kastrup ",Kastrup
Room,8.5,1,1,Yes,No,No,No,No,No,Yes,Yes,Yes,No,No,No,,1-11 months,1 May 2024,5000,0,5000,0,10000,14/12/2023,5407178,"Lundtofteparken, 2800 København, Kongens Lyngby  - 1st floor",Kongens Lyngby
Room,25,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,,Unlimited,As soon as possible,7100,0,14200,0,21300,08/12/2023,4862371,"Aldershvilevej, 2880 København, Bagsværd ",Bagsværd
Apartment,86,3,2,No,No,No,No,No,No,No,No,No,No,No,No,,Unlimited,As soon as possible,11000,1100,33000,11000,56100,05/09/2023,4990250,"Kongelysvej, 2640 København, Hedehusene  - 2nd floor",Hedehusene
Apartment,149,2,2,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,25500,1600,76500,25500,129100,15/02/2023,5338610,"Islands Brygge, 2300 København, København S  - 2nd floor",København S
House,90,3,0,Yes,No,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,Not specified,Yes,-,1-11 months,1 July 2024,17900,3140,53700,0,74740,21/03/2024,5332510,"Holmevej, 2860 København, Søborg ",Søborg
Townhouse,109,4,0,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,30 April 2024,14500,1250,43500,14500,73750,19/03/2024,5282540,"Mejsevangen, 2635 København, Ishøj ",Ishøj
Townhouse,127,5,0,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 June 2024,15240,0,45720,15240,76200,20/03/2024,5306190,"Lækrogen, 2620 København, Albertslund ",Albertslund
Apartment,66,2,2,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,14 April 2024,10300,700,30900,10300,52200,15/03/2024,5426267,"Baltorpvej, 2750 København, Ballerup  - 2nd floor",Ballerup
Room,35,1,0,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Unlimited,As soon as possible,6450,0,6450,0,12900,12/03/2024,2941543,"Sømarksvej, 2900 København, Hellerup ",Hellerup
Apartment,34,1,1,No,No,No,No,No,No,Yes,No,No,No,No,No,-,Unlimited,1 July 2024,7750,470,23250,7750,39220,07/03/2024,5424496,"Lindgreens Allé, 2300 København, København S  - 1st floor",København S
Room,20,1,0,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,1-11 months,1 April 2024,6000,0,18000,0,24000,13/03/2024,5425603,"Jægersborg Alle, 2820 København, Gentofte  - Ground floor",Gentofte
