Property type,Rooms,Floor,Furnished,Balcony,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,district
Apartment,1,2,No,No,2024-04-03,9675,550,29025,9675,48925,2024-03-21,Amager Øst
Room,1,1,Yes,No,2024-04-03,4000,0,0,4000,8000,2024-03-21,Amager Vest
Room,1,5,No,No,2024-04-03,5500,0,11000,5500,22000,2024-03-21,Amager Vest
Apartment,4,1,No,Yes,2024-04-03,14500,1400,43500,14500,73900,2024-03-19,Amager Vest
Apartment,4,1,No,Yes,2024-04-03,14500,500,43500,14500,73000,2024-03-19,Amager Vest
Room,1,1,No,No,2024-04-03,4500,0,4500,4500,13500,2023-11-03,Brønshøj-Husum
Apartment,2,0,No,No,2024-04-03,12500,1080,37500,12500,63580,2024-03-18,Amager Øst
Apartment,2,1,No,Yes,2024-04-03,13929,695,41787,13929,70340,2024-03-18,Amager Vest
Apartment,3,4,No,Yes,2024-04-03,13400,975,40200,13400,67975,2024-03-18,Amager Vest
Apartment,3,7,No,Yes,2024-04-03,13938,1083,41814,13938,70773,2024-03-18,Amager Vest
Room,1,2,No,Yes,2024-04-03,5629,447,16887,5629,28592,2024-02-26,Amager Øst
Apartment,3,1,No,Yes,2024-04-03,14800,1000,44400,14800,75000,2024-03-18,Amager Øst
Apartment,4,5,No,No,2024-04-03,22500,840,67500,22500,113340,2024-03-18,Amager Øst
Apartment,4,18,No,No,2024-04-03,16900,1200,50700,16900,85700,2024-03-17,Amager Vest
Room,1,0,Yes,Yes,2024-04-03,6209,0,12418,0,18627,2024-03-17,Amager Vest
Room,1,5,Yes,No,2024-04-03,7500,0,7500,0,15000,2024-03-16,Amager Vest
Apartment,2,4,No,Yes,2024-04-03,12750,750,25500,12750,51750,2024-03-16,Amager Vest
Apartment,4,1,No,No,2024-04-03,16500,1000,49500,16500,83500,2024-03-15,Amager Vest
Apartment,3,2,No,Yes,2024-04-03,12990,700,38970,12990,65650,2024-03-15,Amager Vest
Apartment,3,1,No,Yes,2024-04-03,13849,900,41547,13849,70145,2024-03-15,Amager Vest
Apartment,3,0,No,Yes,2024-04-03,14253,1102,42759,14253,72367,2024-03-15,Amager Vest
Apartment,4,0,No,Yes,2024-04-03,15124,1159,45372,15124,76779,2024-03-15,Amager Vest
Apartment,2,2,No,Yes,2024-04-03,12285,813,36855,12285,62238,2024-03-15,Amager Vest
Apartment,2,5,No,Yes,2024-04-03,13800,900,41400,13800,69900,2024-03-14,Amager Vest
Apartment,3,2,No,Yes,2024-04-03,13700,790,41100,13700,69290,2024-03-14,Amager Vest
Apartment,4,5,No,Yes,2024-04-03,15200,1185,45600,15200,77185,2024-03-14,Amager Vest
Apartment,4,3,No,Yes,2024-04-03,15000,1155,45000,15000,76155,2024-03-14,Amager Vest
Apartment,4,4,No,Yes,2024-04-03,15100,800,45300,15100,76300,2024-03-14,Amager Vest
Apartment,3,5,No,No,2024-04-03,20400,1200,61200,61200,144000,2024-03-14,Amager Vest
Room,1,0,Yes,No,2024-04-03,4300,0,0,4300,8600,2024-03-14,Amager Vest
